Latitude,Longitude,Elevation,,
51.9885934,-0.8674407,133,"51.9885934, -0.8674407",
51.9887255,-0.86769819,132,"51.9887255, -0.86769819",
51.989003,-0.86709737,134,"51.989003, -0.86709737",
51.9893334,-0.86645364,137,"51.9893334, -0.86645364",
51.9896505,-0.86602449,137,"51.9896505, -0.86602449",
51.9898355,-0.8660674,135,"51.9898355, -0.8660674",trees
51.9899412,-0.8664751,135,"51.9899412, -0.8664751",
51.9899941,-0.86720466,136,"51.9899941, -0.86720466",
51.9901262,-0.86786985,132,"51.9901262, -0.86786985",
51.9901262,-0.86823463,130,"51.9901262, -0.86823463",
51.9897562,-0.86881399,129,"51.9897562, -0.86881399",
51.9895316,-0.86917877,129,"51.9895316, -0.86917877",
51.9892805,-0.8694148,130,"51.9892805, -0.8694148",
51.9881705,-0.87065935,130,"51.9881705, -0.87065935",
51.9878798,-0.87059497,131,"51.9878798, -0.87059497",
51.9877213,-0.87010145,131,"51.9877213, -0.87010145",
51.987523,-0.86943626,133,"51.987523, -0.86943626",
51.9876288,-0.8687067,135,"51.9876288, -0.8687067",
51.988078,-0.86838483,132,"51.988078, -0.86838483",
51.9884216,-0.86789131,132,"51.9884216, -0.86789131",
51.9888841,-0.86763381,132,"51.9888841, -0.86763381",
51.9892541,-0.86737632,133,"51.9892541, -0.86737632",
51.9896373,-0.86701154,135,"51.9896373, -0.86701154",
51.9898223,-0.86699008,136,"51.9898223, -0.86699008",
51.9899148,-0.86756944,134,"51.9899148, -0.86756944",
51.9899941,-0.86802005,132,"51.9899941, -0.86802005",
51.9900865,-0.86853504,129,"51.9900865, -0.86853504",
51.9900601,-0.86905002,128,"51.9900601, -0.86905002",
51.9897694,-0.8692646,129,"51.9897694, -0.8692646",
51.9893466,-0.86977958,130,"51.9893466, -0.86977958",
51.9890162,-0.8701229,130,"51.9890162, -0.8701229",
51.988752,-0.87048769,130,"51.988752, -0.87048769",
51.988382,-0.87076663,129,"51.988382, -0.87076663",
51.9881045,-0.8709383,129,"51.9881045, -0.8709383",
51.987827,-0.8709383,131,"51.987827, -0.8709383",
51.9876288,-0.8706808,132,"51.9876288, -0.8706808",
51.9875891,-0.87025165,131,"51.9875891, -0.87025165",
51.9879327,-0.86958646,132,"51.9879327, -0.86958646",
51.9883952,-0.86911439,130,"51.9883952, -0.86911439",
51.9887916,-0.86868524,130,"51.9887916, -0.86868524",
51.9890823,-0.86836338,130,"51.9890823, -0.86836338",
51.9893334,-0.86812734,131,"51.9893334, -0.86812734",
51.9897562,-0.86776256,134,"51.9897562, -0.86776256",
51.9901394,-0.86731195,135,"51.9901394, -0.86731195",
51.9902715,-0.86810588,130,"51.9902715, -0.86810588",
51.990298,-0.86892128,127,"51.990298, -0.86892128",
51.9899148,-0.86954355,129,"51.9899148, -0.86954355",
51.9891087,-0.87046623,130,"51.9891087, -0.87046623",
51.9886595,-0.87080955,129,"51.9886595, -0.87080955",
51.9883291,-0.87113142,128,"51.9883291, -0.87113142",
51.9879063,-0.87121725,130,"51.9879063, -0.87121725",
51.9875891,-0.87102413,132,"51.9875891, -0.87102413",
51.9873777,-0.87048769,131,"51.9873777, -0.87048769",
51.9873777,-0.87025165,131,"51.9873777, -0.87025165",
51.9873512,-0.86967229,131,"51.9873512, -0.86967229",
51.9873512,-0.86913585,133,"51.9873512, -0.86913585",
51.9873512,-0.86855649,134,"51.9873512, -0.86855649",
51.9875627,-0.86806297,134,"51.9875627, -0.86806297",
51.9878138,-0.86784839,134,"51.9878138, -0.86784839",
51.9881441,-0.8675909,135,"51.9881441, -0.8675909",
51.9883423,-0.86765527,134,"51.9883423, -0.86765527",
51.9886198,-0.86808443,130,"51.9886198, -0.86808443",
51.9887784,-0.86836338,130,"51.9887784, -0.86836338",
51.9890559,-0.8687067,130,"51.9890559, -0.8687067",
51.9894126,-0.8687067,130,"51.9894126, -0.8687067",
51.9896901,-0.86832046,131,"51.9896901, -0.86832046",
51.9897034,-0.8675909,134,"51.9897034, -0.8675909",
51.9896373,-0.86660385,136,"51.9896373, -0.86660385",
51.9896241,-0.86561679,138,"51.9896241, -0.86561679",
51.9896769,-0.86529493,138,"51.9896769, -0.86529493",
51.9899544,-0.86529493,137,"51.9899544, -0.86529493",
51.9902319,-0.86553096,135,"51.9902319, -0.86553096",
51.9903376,-0.86600303,133,"51.9903376, -0.86600303",
51.9904565,-0.86735486,133,"51.9904565, -0.86735486",
51.990549,-0.86866378,127,"51.990549, -0.86866378",
51.9901262,-0.86990833,128,"51.9901262, -0.86990833",
51.9893069,-0.87080955,128,"51.9893069, -0.87080955",
51.9884612,-0.87147474,128,"51.9884612, -0.87147474",
51.9878402,-0.87147474,130,"51.9878402, -0.87147474",
51.987153,-0.87115287,129,"51.987153, -0.87115287",
51.9869284,-0.86999416,130,"51.9869284, -0.86999416",
51.9871398,-0.86945772,131,"51.9871398, -0.86945772",
51.9878005,-0.86879253,134,"51.9878005, -0.86879253",
51.9884612,-0.86823463,131,"51.9884612, -0.86823463",
51.988752,-0.86795568,131,"51.988752, -0.86795568",
51.9884877,-0.86733341,134,"51.9884877, -0.86733341",
,,,", ",
,,,", ",
